frame,pre_ms,seg_ms,depth_ms,post_ms,pub_ms,total_ms,e2e_ms
1602,2.06,60.73,56.78,3.36,0.16,123.09,127.25
1603,1.63,66.45,58.74,3.16,0.15,130.13,140.04
1604,2.75,66.74,62.17,3.46,0.16,135.28,194.41
1605,1.68,62.75,59.78,3.57,0.14,127.93,142.12
1606,1.29,62.69,51.08,3.22,0.13,118.42,145.18
1607,1.87,62.63,53.52,3.13,0.13,121.29,150.60
1608,1.46,60.34,58.25,3.21,0.13,123.40,158.43
1609,1.51,79.60,52.45,3.29,0.16,137.02,145.24
1610,1.27,66.70,51.31,3.30,0.13,122.71,185.21
1611,1.50,71.49,62.72,3.50,0.16,139.36,143.03
1612,1.32,71.57,43.50,3.17,0.14,119.70,146.03
1613,1.25,65.45,40.37,4.07,0.16,111.31,141.97
1614,2.21,84.73,54.62,4.29,0.14,145.99,206.45
1615,1.31,62.82,55.20,3.38,0.14,122.86,148.47
1616,1.34,81.74,60.91,3.13,0.13,147.26,176.24
1617,1.41,76.36,45.75,3.20,0.13,126.86,188.48
1618,1.33,67.82,50.33,3.74,0.22,123.44,128.03
1619,1.42,68.26,57.11,4.03,0.15,130.96,142.77
1620,1.94,67.64,51.57,3.16,0.17,124.48,157.29
1621,1.64,63.29,50.89,3.20,0.13,119.15,126.48
1622,1.46,62.64,65.62,3.07,0.13,132.92,139.85
1623,1.65,65.00,54.80,3.76,0.14,125.34,150.83
1624,1.30,68.81,48.05,4.23,0.18,122.57,158.81
1625,2.14,64.74,54.98,5.33,0.13,127.31,138.56
1626,1.32,52.38,59.91,3.46,0.14,117.22,173.52
1627,1.63,64.18,46.69,3.94,0.13,116.58,138.88
1628,1.31,74.57,50.15,3.55,0.17,129.74,154.27
1629,1.62,67.95,55.22,3.58,0.17,128.54,133.40
1630,1.65,69.19,53.07,3.89,0.13,127.93,146.10
1631,2.13,60.14,50.30,4.82,0.14,117.54,152.45
1632,1.30,68.80,55.90,3.63,0.16,129.80,134.69
1633,1.67,68.95,57.92,3.79,0.17,132.50,154.03
1634,1.36,72.51,50.84,3.67,0.17,128.56,132.81
1635,1.49,70.16,55.77,4.32,0.29,132.04,149.21
1636,1.60,71.72,54.60,3.43,0.15,131.50,138.15
1637,1.87,55.66,48.63,3.28,0.13,109.57,133.50
1638,2.18,69.32,58.57,3.73,0.14,133.94,154.18
1639,1.34,70.94,53.81,3.45,0.15,129.69,166.19
1640,1.37,64.25,48.86,3.26,0.16,117.91,137.25
1641,1.65,61.05,55.87,3.67,0.15,122.39,142.37
1642,1.51,80.07,59.78,3.54,0.17,145.07,179.45
1643,2.96,63.18,55.51,4.25,0.15,126.04,157.24
1644,1.39,61.61,55.60,3.30,0.13,122.02,132.24
1645,1.47,66.88,55.62,3.21,0.14,127.33,145.38
1646,1.34,64.92,50.78,3.40,0.15,120.60,182.39
1647,1.49,68.81,50.42,3.45,0.14,124.31,156.10
1648,1.44,66.18,44.19,3.78,0.14,115.73,123.79
1649,1.38,71.31,44.53,3.31,0.16,120.69,161.14
1650,1.83,60.80,44.71,3.27,0.15,110.75,158.97
1651,1.48,69.00,53.76,6.29,0.18,130.71,139.03
1652,1.69,68.98,47.46,3.31,0.13,121.58,144.84
1653,1.45,64.40,48.26,3.11,0.14,117.35,147.27
1654,1.71,71.90,50.62,3.62,0.17,128.01,158.74
1655,1.39,73.23,53.29,3.65,0.19,131.75,149.02
1656,2.98,71.96,55.23,3.57,0.19,133.92,164.65
1657,1.41,66.58,53.56,3.19,0.15,124.89,143.32
1658,2.85,65.15,57.29,3.48,0.16,128.94,159.00
1659,1.49,59.34,49.82,3.21,0.17,114.04,161.20
1660,2.23,71.58,53.51,3.48,0.17,130.97,144.15
1661,1.58,69.20,57.31,3.36,0.16,131.60,195.71
1662,1.85,83.01,52.84,3.21,0.13,141.03,156.15
1663,2.58,65.48,57.34,4.97,0.17,130.53,139.70
1664,1.50,65.51,54.95,3.08,1.42,126.46,152.03
1665,1.50,58.19,53.26,3.35,0.14,116.43,122.41
1666,1.43,63.30,41.37,3.81,0.17,110.07,113.94
1667,2.15,65.23,47.34,3.48,0.17,118.37,121.77
1668,1.51,79.92,47.63,3.77,0.18,133.01,137.33
1669,1.71,64.09,50.38,3.78,0.21,120.17,144.35
1670,1.38,69.25,54.80,3.55,0.19,129.17,192.90
1671,1.86,62.72,57.63,3.20,0.13,125.54,138.24
1672,1.73,59.44,52.78,3.09,0.12,117.16,173.35
1673,2.82,62.24,59.00,3.58,0.17,127.82,150.97
1674,1.70,64.03,55.72,3.37,0.13,124.94,195.89
1675,1.51,66.45,52.53,4.47,0.13,125.09,173.81
1676,2.07,70.04,53.22,4.44,0.18,129.95,155.45
1677,1.71,59.90,55.38,3.80,0.14,120.93,130.67
1678,1.88,66.68,57.36,3.73,0.17,129.83,182.07
1679,2.31,73.28,52.09,3.23,0.13,131.04,164.61
1680,1.53,58.83,50.06,3.25,0.14,113.81,131.63
1681,1.47,65.13,52.75,3.17,0.14,122.66,135.61
1682,1.37,63.57,58.10,3.10,0.13,126.27,147.43
1683,2.91,64.67,54.03,3.15,0.13,124.89,154.75
1684,1.56,60.15,39.92,4.56,0.15,106.34,113.74
1685,2.05,69.29,55.67,3.37,0.16,130.54,160.93
1686,1.66,69.59,56.93,3.43,0.13,131.74,154.23
1687,3.38,79.45,48.85,3.27,0.14,135.09,149.06
1688,1.40,70.25,40.19,3.44,0.14,115.43,145.22
1689,2.42,58.88,44.70,4.14,0.14,110.29,140.90
1690,1.99,63.45,48.40,4.54,0.19,118.57,147.78
1691,1.45,73.06,49.07,3.89,0.18,127.66,161.80
1692,2.03,71.75,62.80,3.53,0.16,140.26,193.44
1693,1.92,74.26,55.54,4.30,0.22,136.25,148.13
1694,1.36,61.67,56.06,3.60,0.17,122.86,156.14
1695,1.60,65.76,52.78,3.13,0.13,123.41,130.16
1696,1.40,64.67,63.38,4.69,0.26,134.40,150.28
1697,2.21,67.11,46.40,3.76,0.17,119.65,157.40
1698,1.48,79.35,48.70,3.26,0.13,132.92,142.77
1699,1.35,63.92,52.02,5.11,0.25,122.64,147.08
1700,2.04,71.70,58.69,3.73,0.20,136.35,168.87
1701,2.09,60.61,51.24,4.37,0.19,118.50,139.69
1702,2.09,66.04,56.99,4.40,0.18,129.70,157.31
1703,2.11,66.93,49.33,4.41,0.19,122.98,167.47
1704,1.42,57.36,58.84,3.37,0.16,121.15,140.50
1705,2.41,68.04,56.75,3.19,0.13,130.52,157.30
1706,1.74,66.32,56.59,3.49,0.18,128.32,137.45
1707,1.51,66.81,53.50,3.15,0.13,125.11,148.89
1708,1.35,64.51,51.68,3.13,0.13,120.79,186.80
1709,1.44,62.31,56.38,3.12,0.13,123.37,160.84
1710,1.41,67.40,53.75,3.10,0.13,125.80,136.78
1711,1.33,67.38,50.43,3.23,0.14,122.52,176.76
1712,1.88,67.66,51.89,3.18,0.13,124.74,151.80
1713,3.09,60.95,47.01,3.35,0.14,114.54,117.64
1714,1.48,67.45,45.38,3.59,0.13,118.03,121.30
1715,1.53,62.04,40.41,3.22,0.14,107.34,146.65
1716,1.26,67.91,52.24,3.10,0.13,124.64,155.61
1717,1.38,60.84,47.84,3.25,0.13,113.45,117.51
1718,1.39,69.67,59.40,4.35,0.16,134.97,169.95
1719,1.56,70.23,47.88,5.33,0.20,125.20,152.63
1720,1.66,73.61,39.13,3.93,0.21,118.55,162.54
1721,2.37,67.76,49.84,4.97,0.16,125.09,143.71
1722,2.18,69.31,52.65,3.14,0.13,127.41,153.54
1723,1.97,66.86,49.63,4.36,0.18,123.00,127.82
1724,1.52,61.66,57.16,3.62,0.14,124.10,145.44
