frame,pre_ms,seg_ms,depth_ms,post_ms,pub_ms,total_ms,e2e_ms
1870,1.80,78.61,41.09,3.32,0.14,124.96,129.43
1871,2.10,71.99,48.51,3.82,0.17,126.58,174.55
1872,2.31,60.42,43.55,3.52,0.17,109.96,135.55
1873,1.63,63.62,55.04,3.87,0.17,124.33,144.40
1874,1.63,67.19,46.89,4.46,0.18,120.35,153.31
1875,1.47,71.97,47.54,5.60,0.18,126.76,135.35
1876,1.63,62.01,57.19,3.70,0.17,124.70,145.88
1877,2.00,72.81,43.71,3.53,0.17,122.22,155.02
1878,2.27,66.30,46.46,3.70,0.16,118.88,128.08
1879,2.30,73.33,47.61,3.49,0.14,126.87,147.08
1880,2.97,60.54,46.95,3.68,0.19,114.32,148.22
1881,1.57,69.82,42.60,3.29,0.13,117.41,150.17
1882,1.98,73.65,40.39,4.40,0.18,120.60,156.57
1883,1.53,56.67,55.68,3.79,0.14,117.81,160.14
1884,1.72,57.51,51.92,3.22,0.13,114.49,132.01
1885,1.51,62.04,47.04,3.26,0.14,113.99,159.32
1886,1.53,69.35,42.11,3.91,0.15,117.06,129.35
1887,2.13,66.66,46.11,5.00,0.19,120.08,169.61
1888,1.36,62.33,51.26,3.40,0.13,118.48,139.97
1889,2.01,63.64,56.41,5.07,0.20,127.33,185.22
1890,1.44,65.92,53.48,3.76,0.13,124.72,131.55
1891,2.48,62.45,47.09,3.22,0.13,115.37,128.14
1892,2.48,69.01,56.66,3.67,0.18,132.01,148.22
1893,3.26,77.83,61.83,3.61,0.16,146.69,214.54
1894,2.32,93.25,56.50,3.66,0.16,155.89,189.45
1895,1.66,78.03,59.77,5.18,0.17,144.81,191.62
1896,1.50,73.54,62.51,3.68,0.17,141.40,153.17
1897,2.08,74.42,67.22,3.91,0.17,147.80,155.70
1898,1.78,77.23,51.77,3.83,0.17,134.78,144.39
1899,2.21,75.50,61.04,3.68,0.17,142.60,175.37
1900,1.54,73.67,51.33,3.72,0.17,130.42,158.94
1901,2.42,77.08,52.70,3.57,0.17,135.94,149.68
1902,1.47,78.18,54.23,5.36,0.20,139.45,143.28
1903,1.58,83.00,52.64,4.24,0.20,141.65,173.73
1904,2.79,86.39,45.16,3.72,0.23,138.29,164.99
1905,3.46,82.70,64.93,3.78,0.21,155.08,172.95
1906,1.44,76.14,44.89,4.15,0.18,126.80,152.23
1907,1.62,78.20,49.08,4.05,0.18,133.12,142.86
1908,1.47,66.60,48.85,4.05,0.20,121.17,150.38
1909,1.43,60.17,48.54,3.83,0.15,114.12,118.26
1910,1.65,63.86,44.28,3.60,0.17,113.56,118.34
1911,1.34,71.07,46.91,3.67,0.19,123.18,130.39
1912,1.54,62.81,53.98,4.41,0.13,122.87,137.81
1913,1.54,60.58,49.19,5.18,0.18,116.67,144.08
1914,3.92,70.79,41.15,3.75,0.17,119.78,186.96
1915,1.50,70.23,49.35,4.54,0.21,125.83,166.26
1916,2.17,60.82,60.21,3.32,0.13,126.64,183.50
1917,2.01,67.08,51.84,4.22,0.18,125.32,162.39
1918,1.45,75.67,50.53,3.63,0.20,131.48,147.64
1919,1.46,70.98,52.05,3.37,0.14,128.00,161.14
1920,1.37,66.96,49.52,3.15,0.14,121.14,168.38
1921,1.38,72.83,43.94,3.74,0.17,122.06,140.43
1922,1.42,82.38,43.93,4.75,0.19,132.67,160.08
1923,1.35,70.17,47.06,4.59,0.21,123.38,143.06
1924,2.38,68.75,56.58,3.50,0.19,131.40,163.68
1925,1.72,74.05,57.59,5.48,0.17,139.02,159.82
1926,1.64,66.71,53.75,4.19,0.18,126.46,140.42
1927,1.45,79.19,47.45,3.27,0.14,131.49,155.46
1928,3.37,94.94,52.41,5.96,0.17,156.85,198.97
